"הקבוצה"
"אדם מבני נוח"
"אדם מישראל"
"אישה מבני נוח"
"אישה מישראל"
"גבר מבני נוח"
"גבר מישראל"
"כה""ג"
"כהן"
"לוי"
"מלך"
"נזיר"
"ציבור"
"שופט"
