5771	6	21	22
5769	1	13	103
5769	1	20	54
5769	1	20	104
5769	1	21	1
5769	1	28	2
5769	2	5	3
5769	2	12	4
5769	2	19	5
5769	2	26	6
5769	3	5	7
5769	3	12	8
5769	3	19	9
5771	5	9	16
5769	3	26	10
5769	4	3	11
5769	4	10	12
5769	4	17	13
5769	4	24	14
5769	5	2	15
5769	5	9	16
5771	4	24	14
5769	5	16	17
5769	5	23	18
5769	5	30	19
5769	6	7	20
5771	4	10	12
5769	6	14	21
5769	6	21	22
5769	6	21	23
5769	6	28	24
5769	8	6	25
5769	8	13	108
5771	3	26	10
5769	8	23	26
5769	8	27	27
5769	8	27	28
5769	9	4	29
5769	9	4	30
5771	3	12	8
5769	9	11	31
5771	2	26	6
5769	9	18	32
5769	9	18	33
5769	9	25	34
5771	2	12	4
5769	10	3	35
5771	1	28	2
5769	10	10	36
5769	10	17	37
5769	10	24	38
5769	11	1	39
5769	11	8	40
5769	11	15	41
5771	6	7	20
5769	11	22	42
5769	11	22	43
5769	11	29	44
5769	12	7	45
5771	5	30	19
5769	12	14	46
5771	5	23	18
5769	12	21	47
5769	12	28	48
5769	13	5	49
5769	13	12	50
5769	13	19	51
5769	13	19	52
5769	13	26	53
5771	6	14	21
5771	6	21	23
5770	1	13	103
5770	1	20	54
5770	1	20	104
5770	1	25	1
5770	1	32	2
5770	2	9	3
5770	2	16	4
5770	2	23	5
5770	2	30	6
5770	3	9	7
5770	3	16	8
5770	3	23	9
5771	5	2	15
5770	3	30	10
5770	4	7	11
5770	4	14	12
5770	4	21	13
5770	4	28	14
5770	5	6	15
5770	5	13	16
5771	4	17	13
5770	5	20	17
5770	5	27	18
5770	5	34	19
5770	6	11	20
5771	4	3	11
5770	6	18	21
5770	6	25	22
5770	6	25	23
5770	6	32	24
5770	8	10	25
5770	8	13	108
5771	3	19	9
5770	8	27	26
5770	8	31	27
5770	8	31	28
5770	9	8	29
5770	9	8	30
5771	3	5	7
5770	9	15	31
5771	2	19	5
5770	9	22	32
5770	9	22	33
5770	9	29	34
5771	2	5	3
5770	10	7	35
5771	1	21	1
5770	10	14	36
5770	10	21	37
5770	10	28	38
5770	11	5	39
5770	11	12	40
5770	11	19	41
5771	1	20	104
5770	11	26	42
5770	11	26	43
5770	11	33	44
5770	12	11	45
5771	1	20	54
5770	12	18	46
5771	1	13	103
5770	12	25	47
5770	12	32	48
5770	13	9	49
5770	13	16	50
5770	13	23	51
5770	13	23	52
5770	1	7	53
5771	5	16	17
5771	6	28	24
5771	8	6	25
5771	8	13	108
5771	8	23	26
5771	8	27	27
5771	8	27	28
5771	9	4	29
5771	9	4	30
5771	9	11	31
5771	9	18	32
5771	9	18	33
5771	9	25	34
5771	10	3	35
5771	10	10	36
5771	10	17	37
5771	10	24	38
5771	11	1	39
5771	11	8	40
5771	11	15	41
5771	11	22	42
5771	11	22	43
5771	11	29	44
5771	12	7	45
5771	12	14	46
5771	12	21	47
5771	12	28	48
5771	13	5	49
5771	13	12	50
5771	13	19	51
5771	13	19	52
5771	13	26	53
5772	12	9	45
5772	12	16	46
5772	12	23	47
