1	א	01	001
2	ב	02	002
3	ג	03	003
4	ד	04	004
5	ה	05	005
6	ו	06	006
7	ז	07	007
8	ח	08	008
9	ט	09	009
10	י	10	010
11	יא	11	011
12	יב	12	012
13	יג	13	013
14	יד	14	014
15	טו	15	015
16	טז	16	016
17	יז	17	017
18	יח	18	018
19	יט	19	019
20	כ	20	020
21	כא	21	021
22	כב	22	022
23	כג	23	023
24	כד	24	024
25	כה	25	025
26	כו	26	026
27	כז	27	027
28	כח	28	028
29	כט	29	029
30	ל	30	030
31	לא	31	031
32	לב	32	032
33	לג	33	033
34	לד	34	034
35	לה	35	035
36	לו	36	036
37	לז	37	037
38	לח	38	038
39	לט	39	039
40	מ	40	040
41	מא	41	041
42	מב	42	042
43	מג	43	043
44	מד	44	044
45	מה	45	045
46	מו	46	046
47	מז	47	047
48	מח	48	048
49	מט	49	049
50	נ	50	050
51	נא	51	051
52	נב	52	052
53	נג	53	053
54	נד	54	054
55	נה	55	055
56	נו	56	056
57	נז	57	057
58	נח	58	058
59	נט	59	059
60	ס	60	060
61	סא	61	061
62	סב	62	062
63	סג	63	063
64	סד	64	064
65	סה	65	065
66	סו	66	066
67	סז	67	067
68	סח	68	068
69	סט	69	069
70	ע	70	070
71	עא	71	071
72	עב	72	072
73	עג	73	073
74	עד	74	074
75	עה	75	075
76	עו	76	076
77	עז	77	077
78	עח	78	078
79	עט	79	079
80	פ	80	080
81	פא	81	081
82	פב	82	082
83	פג	83	083
84	פד	84	084
85	פה	85	085
86	פו	86	086
87	פז	87	087
88	פח	88	088
89	פט	89	089
90	צ	90	090
91	צא	91	091
92	צב	92	092
93	צג	93	093
94	צד	94	094
95	צה	95	095
96	צו	96	096
97	צז	97	097
98	צח	98	098
99	צט	99	099
100	ק	a0	100
101	קא	a1	101
102	קב	a2	102
103	קג	a3	103
104	קד	a4	104
105	קה	a5	105
106	קו	a6	106
107	קז	a7	107
108	קח	a8	108
109	קט	a9	109
110	קי	b0	110
111	קיא	b1	111
112	קיב	b2	112
113	קיג	b3	113
114	קיד	b4	114
115	קטו	b5	115
116	קטז	b6	116
117	קיז	b7	117
118	קיח	b8	118
119	קיט	b9	119
120	קכ	c0	120
121	קכא	c1	121
122	קכב	c2	122
123	קכג	c3	123
124	קכד	c4	124
125	קכה	c5	125
126	קכו	c6	126
127	קכז	c7	127
128	קכח	c8	128
129	קכט	c9	129
130	קל	d0	130
131	קלא	d1	131
132	קלב	d2	132
133	קלג	d3	133
134	קלד	d4	134
135	קלה	d5	135
136	קלו	d6	136
137	קלז	d7	137
138	קלח	d8	138
139	קלט	d9	139
140	קמ	e0	140
141	קמא	e1	141
142	קמב	e2	142
143	קמג	e3	143
144	קמד	e4	144
145	קמה	e5	145
146	קמו	e6	146
147	קמז	e7	147
148	קמח	e8	148
149	קמט	e9	149
150	קנ	f0	150
151	קנא	f1	151
152	קנב	f2	152
153	קנג	f3	153
154	קנד	f4	154
155	קנה	f5	155
156	קנו	f6	156
157	קנז	f7	157
158	קנח	f8	158
159	קנט	f9	159
160	קס	g0	160
161	קסא	g1	161
162	קסב	g2	162
163	קסג	g3	163
164	קסד	g4	164
165	קסה	g5	165
166	קסו	g6	166
167	קסז	g7	167
168	קסח	g8	168
169	קסט	g9	169
170	קע	h0	170
171	קעא	h1	171
172	קעב	h2	172
173	קעג	h3	173
174	קעד	h4	174
175	קעה	h5	175
176	קעו	h6	176
0	\N	0	0
