tt_kotrt	jm	sug	sugmqor	sfr	prq	psuq	citut	m	tarik_hosfa	ktovt
עיר תמנתה	תמנתה	עיר	פסוק	יהושע	יט	43	ואילון ותמנתה ועקרון	אביתר כהן	2004.11.9 19:08:44	tmnth
עיר תענך	תענך	עיר	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר .. עין-דר .. תענך .. מגדו ..	אביתר כהן	2004.9.22 18:53:32	tenk
עיר תפוח	תפוח	עיר	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח	אביתר כהן	2004.9.22 18:44:19	tpwx
עיר תפסח	תפסח	עיר				0			2006.11.20 12:03:00	tpsx
עיר תקוע	תקוע	עיר	פסוק	ירמיה	ו	1	העזו בני בנימן מקרב ירושלם ובתקוע תקעו שופר ועל-בית הכרם שאו משאת ..	אביתר כהן	2006.2.8 19:11:57	tqwe
עיר תראלה	תראלה	עיר	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה	אביתר כהן	2004.10.20 19:50:51	tralh
עיר תרמה	תרמה	עיר	פסוק	שופטים	ט	31	וישלח מלאכים אל-אבימלך בתרמה לאמר הנה געל בן-עבד ואחיו באים שכמה	אביתר כהן	2004.10.4 19:02:00	trmh
עיר תרצה	תרצה	עיר	פסוק	במדבר	כז	1	..בנות צלפחד בן חפר בן גלעד בן מכיר בן מנשה ..מחלה נעה וחגלה ומלכה ותרצה	אביתר כהן	2004.9.22 19:01:55	trch
עמק - כללי		עמק				0			2006.11.20 12:03:00	emq-klly
עמק איילון	איילון	עמק				0			2006.11.20 12:03:00	emq_ayylwn
עמק האלה	האלה	עמק				0			2006.11.20 12:03:00	emq_halh
עמק הירדן	הירדן	עמק				0			2006.11.20 12:03:00	emq_hyrdn
עמק המלך	המלך	עמק	פסוק	בראשית	יד	17	ואת המלכים אשר אתו אל עמק שוה הוא עמק המלך	אראלאראל	2004.11.11 10:26:26	emq_hmlk
עמק הפגרים	הפגרים	עמק				0			2006.11.20 12:03:00	emq_hpgrym
עמק יזרעאל	יזרעאל	עמק				0			2006.11.20 12:03:00	emq_yzreal
עמק עכור	עכור	עמק				0			2006.11.20 12:03:00	emq_ekwr
עמק רפאים	רפאים	עמק				0			2006.11.20 12:03:00	emq_rpaym
עמק שוה	שוה	עמק	פסוק	בראשית	יד	17	ואת המלכים אשר אתו אל עמק שוה הוא עמק המלך	אראל	2004.11.11 10:26:13	emq_jwh
עציון גבר	עציון גבר	עיר				0			2006.11.20 12:03:00	ecywn_gbr
ערבה	ערבה	שדה				0			2006.11.20 12:03:00	erbh
ערבות המדבר	ערבות המדבר	שדה				0			2006.11.20 12:03:00	erbwt_hmdbr
צלע האלף	צלע האלף	עיר	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים	אביתר כהן	2004.10.20 19:51:39	cle_halp
קבר רחל	קבר רחל	שער				0			2006.11.20 12:03:00	qbr_rxl
קדש ברנע	קדש ברנע	עיר				0			2006.11.20 12:03:00	qdj_brne
קרית ארבע	קרית ארבע	עיר	פסוק	יהושע	טו	54	וחמטה וקרית ארבע היא חברון וציער	אביתר כהן	2005.3.8 20:23:48	qryt_arbe
קרית בעל	קרית בעל	עיר	פסוק	יהושע	טו	60	קרית-בעל היא קרית יערים והרבה	אביתר כהן	2005.3.8 20:30:28	qryt_bel
קרית יערים	קרית יערים	עיר	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים	אביתר כהן	2004.10.20 19:52:10	qryt_yerym
קרית סנה	קרית סנה	עיר	פסוק	יהושע	טו	49	ודנה וקרית-סנה היא דבר	אביתר כהן	2005.3.8 20:14:17	qryt_snh
קרית ספר	קרית ספר	עיר	פסוק	יהושע	טו	15	ויעל משם אל ישבי דבר ושם דבר לפנים קרית ספר	אביתר כהן	2005.3.28 16:17:54	qryt_spr
ראש הפעור	ראש הפעור	הר				0			2006.11.20 12:03:00	raj_hpewr
שדה - כללי		שדה				0			2006.11.20 12:03:00	jdh-klly
שדה כובס	כובס	שדה				0			2006.11.20 12:03:00	jdh_kwbs
שדה צופים	צופים	שדה				0			2006.11.20 12:03:00	jdh_cwpym
שנער	שנער	ארץ	פסוק	בראשית	יא	2	ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם	אראל	2006.3.26 23:09:45	jner
שער - כללי		שער				0			2006.11.20 12:03:00	jer-klly
שער אחר הרצים	הרצים	שער				0			2006.11.20 12:03:00	jer_axr_hrcym
שער אפרים	אפרים	שער				0			2006.11.20 12:03:00	jer_aprym
שער האשפות	אשפות	שער				0			2006.11.20 12:03:00	jer_hajpwt
שער הגיא	הגיא	שער				0			2006.11.20 12:03:00	jer_hgya
שער הדגים	הדגים	שער				0			2006.11.20 12:03:00	jer_hdgym
שער הישנה	הישנה	שער				0			2006.11.20 12:03:00	jer_hyjnh
שער המטרה	המטרה	שער				0			2006.11.20 12:03:00	jer_hmfrh
שער המים	המים	שער				0			2006.11.20 12:03:00	jer_hmym
שער המפקד	המפקד	שער				0			2006.11.20 12:03:00	jer_hmpqd
שער הסוסים	סוסים	שער				0			2006.11.20 12:03:00	jer_hswsym
שער העין	העין	שער				0			2006.11.20 12:03:00	jer_heyn
שער העליון	עליון	שער				0			2006.11.20 12:03:00	jer_helywn
שער הפינה	הפינה	שער				0			2006.11.20 12:03:00	jer_hpynh
שער הצאן	הצאן	שער				0			2006.11.20 12:03:00	jer_hcan
שער הרצים	הרצים	שער				0			2006.11.20 12:03:00	jer_hrcym
שער סור	סור	שער				0			2006.11.20 12:03:00	jer_swr
שפלה	שפלה	עמק				0			2006.11.20 12:03:00	jplh
שרון	שרון	שדה				0			2006.11.20 12:03:00	jrwn
תופת	תופת	שער				0			2006.11.20 12:03:00	twpt
תמנת חרס	תמנת חרס	עיר	פסוק	שופטים	ב	9	ויקברו אותו בגבול נחלתו בתמנת-חרס בהר אפרים מצפון להר-געש	אביתר כהן	2004.9.21 18:23:02	xrs
תעלת הברכה העליונה	תעלת הברכה העליונה	מים				0			2006.11.20 12:03:00	telt_hbrkh_helywnh
