tt_kotrt	jm	sug	sugmqor	sfr	prq	psuq	citut	m	tarik_hosfa	ktovt
הר הכרמל	כרמל	הר				0			2006.11.20 12:03:00	hr_hkrml
הר הלבנון	לבנון	הר				0			2006.11.20 12:03:00	hr_hlbnwn
הר המוריה	מוריה	הר				0			2006.11.20 12:03:00	hr_hmwryh
הר העמלקי	העמלקי	הר				0			2008.5.4 17:06:29	
הר הקדם	קדם	הר				0			2006.11.20 12:03:00	hr_hqdm
הר חרמון	חרמון	הר				0			2006.11.20 12:03:00	hr_xrmwn
הר סיני	סיני	הר				0			2006.11.20 12:03:00	hr_syny
הר עיבל	עיבל	הר				0			2006.11.20 12:03:00	hr_eybl
הר ציון	ציון	הר				0			2006.11.20 12:03:00	hr_cywn
הר שעיר	שעיר	הר				0			2006.11.20 12:03:00	hr_jeyr
הר תבור	תבור	הר				0			2006.11.20 12:03:00	hr_tbwr
חדקל	חדקל	נהר	פסוק	בראשית	ב	14	ושם הנהר השלישי חדקל הוא ההלך קדמת אשור	אראל	2006.5.4 09:00:42	xdql
חוות יאיר	יאיר	חוות				0			2006.11.20 12:03:00	xwwt_yayr
חלקת השדה	חלקת השדה	עיר	פסוק	בראשית	לג	19	ויקן את חלקת השדה אשר נטה שם אהלו מיד בני חמור אבי שכם..	אביתר כהן	2004.8.25 18:52:31	xlqt_hjdh
חלקת מחקק	חלקת מחקק	עיר	פסוק	דברים	לג	21	וירא ראשית לו כי שם חלקת מחקק ספון	אביתר כהן	2004.9.27 13:26:29	xlqt_mxqq
חצצון תמר	חצצון תמר	עיר	פסוק	דברי הימים ב	כ	2	..והנם בחצצון תמר היא עין גדי	אביתר כהן	2005.4.4 21:28:49	xccwn_tmr
חצר גדה	חצר גדה	עיר	פסוק	יהושע	טו	27	וחצר גדה וחשמון ובית פלט	אביתר כהן	2005.3.8 19:22:35	xcr_gdh
חצר סוסה	חצר סוסה	עיר	פסוק	יהושע	יט	5	וצקלג ובית-המרכבות וחצר סוסה	אביתר כהן	2005.3.31 21:07:11	xcr_swsh
חצר שועל	חצר שועל	עיר	פסוק	יהושע	טו	28	וחצר שועל ובאר שבע ובזיותיה	אביתר כהן	2005.3.8 19:25:09	xcr_jwel
חרושת הגויים	חרושת הגויים	עיר				0			2006.11.20 12:03:00	xrwjt_hgwyym
חרמון	חרמון	הר				0			2006.11.20 12:03:00	xrmwn
חרן	חרן	ארץ				0			2006.11.20 12:03:00	xrn
יאור	יאור	מים				0			2006.11.20 12:03:00	yawr
יבש גלעד	יבש גלעד	עיר				0			2006.11.20 12:03:00	ybj_gled
ים המלח	המלח	ים				0			2006.11.20 12:03:00	ym_hmlx
ים כנרת	כנרת	ים				0			2006.11.20 12:03:00	ym_knrt
ים סוף	סוף	ים				0			2006.11.20 12:03:00	ym_swp
ים תיכון	תיכון	ים				0			2006.11.20 12:03:00	ym_tykwn
יער אפרים	אפרים	יער				0			2006.11.20 12:03:00	yer_aprym
יפתח אל	יפתח אל	עיר	פסוק	יהושע	יט	27	ושב מזרח השמש בית דגן ופגע בזבולן ובגי יפתח-אל	אביתר כהן	2004.8.30 20:07:41	yptx_al
ירושלים	ירושלים	עיר	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים	אביתר כהן	2004.10.20 19:51:53	yrwjlym
ככר הירדן	ככר הירדן	עמק				0			2006.11.20 12:03:00	kkr_hyrdn
כפר העמנה	כפר העמנה	עיר	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן	אביתר כהן	2004.10.20 19:46:49	kpr_hemnh
כרמל במדבר יהודה	כרמל במדבר יהודה	עיר				0			2006.11.20 12:03:00	hkrml_bmdbr_yhwdh
לבא חמת	לבא חמת	עיר				0			2006.11.20 12:03:00	lba_xmt
לשכה	לשכה	שער				0			2006.11.20 12:03:00	ljkh
מגדל אל	אל	מגדל	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש ..	אביתר כהן	2004.11.8 18:43:45	mgdl-al
מגדל גד	גד	מגדל	פסוק	יהושע	טו	37	צנן וחדשה ומגדל-גד	אביתר כהן	2005.3.8 19:47:20	mgdl_gd
מגדל המאה	המאה	מגדל				0			2006.11.20 12:03:00	mgdl_hmah
מגדל התנורים	התנורים	מגדל				0			2006.11.20 12:03:00	mgdl_htnwrym
מגדל חננאל	חננאל	מגדל				0			2006.11.20 12:03:00	mgdl_xnnal
מדבר	מדבר	מדבר				0			2006.11.20 12:03:00	mdbr
מדבר יהודה	יהודה	מדבר				0			2006.11.20 12:03:00	mdbr_yhwdh
מדבר מואב	מואב	מדבר				0			2006.11.20 12:03:00	mdbr_mwab
מדבר סיני	סיני	מדבר				0			2006.11.20 12:03:00	mdbr_syny
מדבר פארן	פארן	מדבר				0			2006.11.20 12:03:00	mdbr_parn
מדבר צין	צין	מדבר				0			2006.11.20 12:03:00	mdbr_cyn
מוסבת שם	מוסבת שם	עיר	פסוק	במדבר	לב	38	ואת נבו ואת בעל מעון מוסבת שם ואת שבמה..	אביתר כהן	2005.3.7 19:18:38	mwsbt_jm
מחנה דן	מחנה דן	עיר				0			2006.11.20 12:03:00	mxnh_dn
מים - כללי		מים				0			2006.11.20 12:03:00	mym-klly
מסה ומריבה	מסה ומריבה	עיר				0			2006.11.20 12:03:00	msh_wmrybh
מסילת שדה כובס	מסילת שדה כובס	שדה				0			2006.11.20 12:03:00	msylt_jdh_kwbs
מעלה אדומים	מעלה אדומים	עיר				0			2006.11.20 12:03:00	melh_adwmym
מערת המכפלה	מערת המכפלה	שדה				0			2006.11.20 12:03:00	mert_hmkplh
מערת עדולם	מערת עדולם	שדה				0			2006.11.20 12:03:00	mert_edwlm
מצפה גלעד	מצפה גלעד	עיר				0			2006.11.20 12:03:00	mcph_gled
נגב הירחמאלי	נגב הירחמאלי	ארץ				0			2006.11.20 12:03:00	ngb_hyrxmaly
נגב הכרתי	נגב הכרתי	ארץ				0			2006.11.20 12:03:00	ngb_hkrty
נגב הקיני	נגב הקיני	ארץ				0			2006.11.20 12:03:00	ngb_hqyny
נגב יהודה	נגב יהודה	ארץ				0			2006.11.20 12:03:00	ngb_yhwdh
נגב כלב	נגב כלב	ארץ				0			2006.11.20 12:03:00	ngb_klb
נהר הירדן	נהר הירדן	מים				0			2006.11.20 12:03:00	nhr_hyrdn
נהר פרת	נהר פרת	מים				0			2006.11.20 12:03:00	nhr_prt
נחל ארנון	נחל ארנון	מים				0			2006.11.20 12:03:00	nxl_arnwn
נחל אשכול	נחל אשכול	מים				0			2006.11.20 12:03:00	nxl_ajkwl
נחל יבוק	נחל יבוק	מים				0			2006.11.20 12:03:00	nxl_ybwq
נחל פרת	נחל פרת	מים				0			2006.11.20 12:03:00	nxl_prt
נחל קדרון	נחל קדרון	מים				0			2006.11.20 12:03:00	nxl_qdrwn
נחל קישון	נחל קישון	מים				0			2006.11.20 12:03:00	nxl_qyjwn
נחל קנה	נחל קנה	מים				0			2006.11.20 12:03:00	nxl_qnh
נחל שורק	נחל שורק	מים				0			2006.11.20 12:03:00	nxl_jwrq
נחלת אפרים	נחלת אפרים	ארץ	פסוק	יהושע	טז	5	ויהי גבול בני-אפרים..	אביתר כהן	2004.8.25 18:25:50	nxlt_aprym
נחלת אשר	נחלת אשר	ארץ	פסוק	יהושע	יט	24	ויצא הגורל החמישי למטה בני אשר..	אביתר כהן	2004.8.24 22:56:56	nxlt_ajr
נחלת בנימין	נחלת בנימין	ארץ	פסוק	יהושע	יח	11	ויעל גורל מטה בני-בנימן..	אביתר כהן	2004.8.24 09:04:24	nxlt_bnymyn
נחלת גד	נחלת גד	ארץ	פסוק	יהושע	יג	24	ויתן משה למטה גד לבני גד..	אביתר כהן	2004.8.25 18:21:39	nxlt_gd
נחלת דן	נחלת דן	ארץ	פסוק	יהושע	יט	40	למטה בני-דן.. יצא הגורל השביעי	אביתר כהן	2004.8.25 18:33:55	nxlt_dn
נחלת זבולון	נחלת זבולון	ארץ	פסוק	יהושע	יט	10	ויעל הגורל השלישי לבני זבולן..	אביתר כהן	2004.8.25 18:30:44	nxlt_zbwlwn
נחלת חצי מנשה - מזרח	נחלת חצי מנשה - מזרח	ארץ	פסוק	יהושע	יג	29	ויתן משה לחצי שבט מנשה..	אביתר כהן	2004.8.25 18:23:14	nxlt_xcy_mnjh-mzrx
נחלת חצי מנשה - מערב	נחלת חצי מנשה - מערב	ארץ	פסוק	יהושע	יז	7	ויהי גבול-מנשה..	אביתר כהן	2004.8.25 18:27:20	nxlt_xcy_mnjh-merb
נחלת יהודה	נחלת יהודה	ארץ	פסוק	יהושע	טו	1	ויהי הגורל למטה בני יהודה..	אביתר כהן	2004.8.24 09:02:45	nxlt_yhwdh
נחלת יהודה - הר	נחלת יהודה - הר	ארץ	פסוק	יהושע	טו	46	ובהר שמיר ויתיר (ושוכה) ושוכו	אביתר כהן	2005.3.8 18:56:02	nxlt_yhwdh-hr
נחלת יהודה - נגב	נחלת יהודה - נגב	ארץ	פסוק	יהושע	טו	21	..למטה בני-יהודה אל-גבול אדום בנגבה ..	אביתר כהן	2005.3.8 18:51:57	nxlt_yhwdh-ngb
נחלת יהודה - שפלה	נחלת יהודה - שפלה	ארץ	פסוק	יהושע	טו	33	בשפלה אשתאול וצרעה ..	אביתר כהן	2005.3.8 18:54:41	nxlt_yhwdh-jplh
נחלת יששכר	נחלת יששכר	ארץ	פסוק	יהושע	יט	17	ליששכר יצא הגורל הרביעי..	אביתר כהן	2004.8.25 18:31:52	nxlt_yjjkr
נחלת נפתלי	נחלת נפתלי	ארץ	פסוק	יהושע	יט	32	לבני נפתלי יצא הגורל הששי..	אביתר כהן	2004.8.25 18:32:50	nxlt_nptly
נחלת ראובן	נחלת ראובן	ארץ	פסוק	יהושע	יג	15	ויתן משה למטה בני-ראובן..	אביתר כהן	2004.8.25 18:19:57	nxlt_rawbn
נחלת שמעון	נחלת שמעון	ארץ	פסוק	יהושע	יט	1	ויצא הגורל השני לשמעון..	אביתר כהן	2004.8.25 18:29:15	nxlt_jmewn
נקבת השילוח	שילוח	מים				0			2006.11.20 12:03:00	nqbt_hjylwx
סלע עיטם	סלע עיטם	עיר				0			2006.11.20 12:03:00	sle_eyfm
עבר הירדן	עבר הירדן	שדה				0			2006.11.20 12:03:00	ebr_hyrdn
עדר (ערד)	עדר (ערד)	עיר	פסוק	יהושע	טו	21	..אל-גבול אדום בנגבה קבצאל ועדר ויגור	אביתר כהן	2005.3.8 19:08:41	edr_(erd)
עין גדי	עין גדי	עיר	פסוק	יהושע	טו	62	והנבשן ועיר-המלח ועין גדי	אביתר כהן	2005.3.8 20:33:15	eyn_gdy
עין גנים	עין גנים	עיר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ	אביתר כהן	2004.11.16 20:00:11	eyn_gnym
עין דור	עין דור	מים				0			2006.11.20 12:03:00	eyn_dwr
עין הקורא	עין הקורא	עיר	פסוק	שופטים	טו	19	..על כן קרא שמה עין הקורא אשר בלחי עד היום הזה	אביתר כהן	2005.4.3 19:11:49	eyn_hqwra
עין התנין	עין התנין	מים				0			2006.11.20 12:03:00	eyn_htnyn
עין חדה	עין חדה	עיר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ	אביתר כהן	2004.11.16 20:00:24	eyn_xdh
עין חצור	עין חצור	עיר	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור	אביתר כהן	2004.11.8 18:38:19	eyn_xcwr
עין חרוד	עין חרוד	מים				0			2006.11.20 12:03:00	eyn_xrwd
עין רוגל	עין רוגל	מים				0			2006.11.20 12:03:00	eyn_rwgl
עיר - כללי		עיר				0			2006.11.20 12:03:00	eyr-klly
עיר אביעזר	אביעזר	עיר	פסוק	יהושע	יז	2	לבני מנשה ..לבני אביעזר ולבני-חלק ולבני אשריאל ולבני-שכם ולבני-חפר ולבני שמידע	אביתר כהן	2004.10.4 19:17:12	abyezr
עיר אבל	אבל	עיר	פסוק	במדבר	לג	49	 ויחנו על הירדן מבית הישמת עד אבל השטים בערבת מואב 	אביתר כהן	2006.2.8 19:09:42	abl
עיר אבץ	אבץ	עיר	פסוק	יהושע	יט	20	והרבית וקשיון ואבץ	אביתר כהן	2004.8.30 18:24:10	abc
עיר אדמה	אדמה	עיר	פסוק	יהושע	יט	36	ואדמה והרמה וחצור	אביתר כהן	2004.11.8 18:34:19	admh
עיר אדמי	אדמי	עיר	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום ..	אביתר כהן	2004.11.8 18:13:49	admy
עיר אדר	אדר	עיר	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון	אביתר כהן	2004.9.21 17:36:58	adr
עיר אדרעי	אדרעי	עיר	פסוק	יהושע	יט	37	וקדש ואדרעי ועין חצור	אביתר כהן	2004.11.8 18:38:00	adrey
עיר אוזן	אוזן	עיר	פסוק	דברי הימים א	ז	24	ובתו שארה ותבן את-בית-חורון התחתון ואת-העליון ואת אזן שארה	אביתר כהן	2004.10.4 18:38:02	awzn
עיר אולם	אולם	עיר	פסוק	דברי הימים א	ז	16	ותלד מעכה אשת-מכיר בן ותקרא שמו פרש ושם אחיו שרש ובניו אולם ורקם:	אביתר כהן	2004.8.29 18:24:06	awlm
עיר אונו	אונו	עיר	פסוק	נחמיה	ו	2	וישלח סנבלט וגשם אלי לאמר לכה ונועדה יחדו בכפירים בבקעת אונו ..	אביתר כהן	2006.2.13 13:39:12	awnw
עיר אזנות	אזנות	עיר	פסוק	יהושע	יט	34	ושב הגבול ימה אזנות תבור ויצא משם חקקה..	אביתר כהן	2004.10.4 18:41:42	aznwt
עיר אחלב	אחלב	עיר				0			2006.11.20 12:03:00	axlb
עיר אחמתא	אחמתא	עיר				0			2006.11.20 12:03:00	axmta
עיר אטד	אטד	עיר	פסוק	בראשית	נ	10	ויבאו עד גרן האטד אשר בעבר הירדן ..	אביתר כהן	2006.2.27 19:19:03	afd
עיר אילון	אילון	עיר	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה	אביתר כהן	2004.11.9 19:04:52	aylwn
עיר אילת	אילת	עיר				0			2006.11.20 12:03:00	aylt
עיר אכזיב	אכזיב	עיר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד-עיר מבצר-צר ושב הגבול חסה והיו תצאתיו הימה מחבל אכזיבה	אביתר כהן	2004.9.21 18:46:52	akzyb
עיר אכשף	אכשף	עיר	פסוק	יהושע	יט	25	ויהי גבולם חלקת וחלי ובטן ואכשף	אביתר כהן	2004.8.26 19:39:56	akjp
עיר אלמלך	אלמלך	עיר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	אביתר כהן	2004.8.26 19:49:28	almlk
עיר אלעלא	אלעלא	עיר	פסוק	במדבר	לב	37	ובני ראובן בנו את חשבון ואת אלעלא ואת קריתים	אביתר כהן	2005.3.7 19:17:29	alela
עיר אלתולד	אלתולד	עיר	פסוק	יהושע	טו	30	ואלתולד וכסיל וחרמה	אביתר כהן	2005.3.8 19:27:32	altwld
עיר אלתקה	אלתקה	עיר	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת	אביתר כהן	2004.11.9 19:11:28	altqh
עיר אלתקן	אלתקן	עיר	פסוק	יהושע	טו	59	ומערת ובית-ענות ואלתקן	אביתר כהן	2005.3.8 20:29:40	altqn
עיר אמם	אמם	עיר	פסוק	יהושע	טו	26	אמם ושמע ומולדה	אביתר כהן	2005.3.8 19:21:17	amm
עיר אנו	אנו	עיר	פסוק	נחמיה	ז	37	בני-לד חדיד ואנו שבע מאות ועשרים ואחד	אביתר כהן	2006.2.13 13:40:11	anw
עיר אנחרת	אנחרת	עיר	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת	אביתר כהן	2004.11.16 19:53:37	anxrt
עיר אפיק	אפיק	עיר				0			2006.11.20 12:03:00	apyq
עיר אפק	אפק	עיר	פסוק	יהושע	יט	30	ועמה ואפק ורחב ערים עשרים ושתים וחצריהן	אביתר כהן	2004.9.21 18:50:00	apq
עיר אפקה	אפקה	עיר	פסוק	יהושע	טו	53	וינים ובית-תפוח ואפקה	אביתר כהן	2005.3.8 20:23:06	apqh
עיר אפרת	אפרת	עיר	פסוק	בראשית	לה	19	ותמת רחל ותקבר בדרך אפרתה הוא בית לחם	אביתר כהן	2004.10.4 18:51:00	aprt
עיר ארב	ארב	עיר	פסוק	יהושע	טו	52	ארב ורומה ואשען	אביתר כהן	2005.3.8 20:20:55	arb
עיר ארבות	ארבות	עיר	פסוק	מלכים א	ד	10	בן חסד בארבות לו שכה וכל ארץ חפר	אביתר כהן	2005.4.5 19:48:45	arbwt
עיר ארגוב	ארגוב	עיר				0			2006.11.20 12:03:00	argwb
עיר ארומה	ארומה	עיר	פסוק	שופטים	ט	41	וישב אבימלך בארומה ויגרש זבל את-געל ואת-אחיו משבת בשכם	אביתר כהן	2004.10.4 19:02:37	arwmh
עיר ארכי	ארכי	עיר	פסוק	יהושע	טז	2	ויצא מבית אל לוזה, ועבר אל גבול הארכי עטרות	אביתר כהן	2005.3.7 20:57:20	arky
עיר אשדוד	אשדוד	עיר	פסוק	יהושע	טו	46	מעקרון וימה כל אשר אשדוד וחצריהן	אביתר כהן	2005.3.8 20:03:36	ajdwd
עיר אשחור	אשחור	עיר	פסוק	דברי הימים א	ד	5	ולאשחור אבי תקוע היו שתי נשים חלאה ונערה	אביתר כהן	2004.8.29 19:17:47	ajxwr
עיר אשנה	אשנה	עיר	פסוק	יהושע	טו	33	בשפלה אשתאול וצרעה ואשנה... ויפתח ואשנה ונציב	אביתר כהן	2005.3.8 19:33:32	ajnh
עיר אשען	אשען	עיר	פסוק	יהושע	טו	52	ארב ורומה ואשען	אביתר כהן	2005.3.8 20:21:37	ajen
עיר אשקלון	אשקלון	עיר				0			2006.11.20 12:03:00	ajqlwn
עיר אשר	אשר	עיר	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח	אביתר כהן	2004.9.22 18:42:57	ajr
עיר אשריאל	אשריאל	עיר	פסוק	יהושע	יז	2	לבני מנשה ..לבני אביעזר ולבני-חלק ולבני אשריאל ולבני-שכם ולבני-חפר ולבני שמידע	אביתר כהן	2004.10.4 19:18:50	ajryal
עיר אשתאול	אשתאול	עיר	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש	אביתר כהן	2004.11.9 19:00:24	ajtawl
עיר אשתמה	אשתמה	עיר	פסוק	יהושע	טו	50	וענב ואשתמה וענים	אביתר כהן	2005.3.15 19:26:41	ajtmh
עיר אשתמע	אשתמע	עיר	פסוק	יהושע	כא	14	ואת יתר ואת מגרשה ואת אשתמע ואת מגרשה	אביתר כהן	2005.4.4 17:39:46	ajtme
עיר אתנן	אתנן	עיר	פסוק	דברי הימים א	ד	7	ובני חלאה צרת יצחר ואתנן	אביתר כהן	2005.3.30 12:32:27	atnn
עיר אתרים	אתרים	עיר	פסוק	במדבר	כא	1	וישמע הכנעני מלך ערד ישב הנגב כי בא ישראל דרך האתרים ..	אביתר כהן	2005.4.4 18:07:36	atrym
עיר בארות	בארות	עיר	פסוק	יהושע	יח	25	גבעון והרמה ובארות	אביתר כהן	2004.10.20 19:49:01	barwt
עיר בבל	בבל	עיר	פסוק	בראשית	י	10	על כן קרא שמה בבל כי שם בלל ידוד שפת כל הארץ ומשם הפיצם ידוד על פני כל הארץ	אראל	2006.3.26 22:36:05	bbl
עיר בחורים	בחורים	עיר	פסוק	שמואל ב	טז	5	ובא המלך דוד עד בחורים ..	אביתר כהן	2005.3.28 19:01:01	bxwrym
עיר בטן	בטן	עיר	פסוק	יהושע	יט	25	ויהי גבולם חלקת וחלי ובטן ואכשף	אביתר כהן	2004.8.26 19:21:54	bfn
עיר בטנים	בטנים	עיר	פסוק	יהושע	יג	26	ומחשבון עד רמת המצפה ובטנים וממחנים עד גבול לדבר	אביתר כהן	2004.8.26 20:29:55	bfnym
עיר בלה	בלה	עיר	פסוק	יהושע	יט	3	וחצר שועל ובלה ועצם	אביתר כהן	2005.3.31 21:45:24	blh
עיר בלהה	בלהה	עיר	פסוק	דברי הימים א	ד	29	ובבלהה ובעצם ובתולד	אביתר כהן	2005.3.31 21:46:12	blhh
עיר בלע	בלע	עיר	פסוק	בראשית	יד	2	..ומלך בלע היא צער	אביתר כהן	2005.4.3 18:52:03	ble
עיר במות	במות	עיר	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון	אביתר כהן	2005.3.7 19:09:46	bmwt
עיר בעלה	בעלה	עיר	פסוק	יהושע	טו	29	בעלה ועיים ועצם	אביתר כהן	2005.3.8 19:26:08	belh
עיר בעלות	בעלות	עיר	פסוק	יהושע	טו	24	זיף וטלם ובעלות	אביתר כהן	2005.3.8 19:17:29	belwt
עיר בעלת	בעלת	עיר	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת	אביתר כהן	2004.11.9 19:11:57	belt
עיר בצקת	בצקת	עיר	פסוק	יהושע	טו	39	לכיש ובצקת ועגלון	אביתר כהן	2005.3.8 19:49:03	bcqt
עיר ברד	ברד	עיר	פסוק	בראשית	טז	14	על כן קרא לבאר באר לחי ראי הנה בין קדש ובין ברד	אביתר כהן	2005.3.7 21:17:54	brd
עיר בתואל	בתואל	עיר	פסוק	דברי הימים א	ד	30	ובבתואל ובחרמה ובצקלג	אביתר כהן	2005.3.31 21:38:01	btwal
עיר בתול	בתול	עיר	פסוק	יהושע	יט	4	ואלתולד ובתול וחרמה	אביתר כהן	2005.3.31 21:01:09	btwl
עיר גבע	גבע	עיר	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן	אביתר כהן	2004.10.20 19:47:24	gbe
עיר גבעה	גבעה	עיר	פסוק	יהושע	טו	57	הקין גבעה ותמנה ערים עשר וחצריהן	אביתר כהן	2005.3.8 20:27:13	gbeh
עיר גבעון	גבעון	עיר	פסוק	יהושע	יח	25	גבעון והרמה ובארות	אביתר כהן	2004.10.20 19:47:59	gbewn
עיר גבתון	גבתון	עיר	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת	אביתר כהן	2004.11.9 19:11:44	gbtwn
עיר גדגדה	גדגדה	עיר				0			2006.11.20 12:03:00	gdgdh
עיר גדור	גדור	עיר	פסוק	יהושע	טו	58	חלחול בית-צור וגדור	אביתר כהן	2005.3.8 20:28:22	gdwr
עיר גדר	גדר	עיר	פסוק	יהושע	יב	13	מלך דבר אחד מלך גדר אחד	אביתר כהן	2005.4.5 19:58:42	gdr
עיר גדרה	גדרה	עיר	פסוק	יהושע	טו	36	ושערים ועדיתים והגדרה..	אביתר כהן	2005.3.8 19:45:54	gdrh
עיר גדרות	גדרות	עיר	פסוק	יהושע	טו	41	וגדרות בית-דגון ונעמה ומקדה	אביתר כהן	2005.3.8 19:50:54	gdrwt
עיר גוב	גוב	עיר				0			2006.11.20 12:03:00	gwb
עיר גור	גור	עיר	פסוק	דברי הימים ב	כו	7	ויעזרהו האלהים על פלשתים ועל הערביים הישבים בגור בעל והמעונים	אביתר כהן	2005.3.30 12:26:28	gwr
עיר גזר	גזר	עיר	פסוק	יהושע	טז	10	ולא הורישו את-הכנעני היושב בגזר וישב הכנעני בקרב אפרים..	אביתר כהן	2004.9.21 18:14:54	gzr
עיר גלגל	גלגל	עיר	פסוק	יהושע	טו	7	ועלה הגבול דברה מעמק עכור וצפונה פנה אל-הגלגל אשר-נכח למעלה אדמים ..	אביתר כהן	2006.2.27 19:10:20	glgl
עיר גלה	גלה	עיר	פסוק	יהושע	טו	51	וגשן וחלן וגלה	אביתר כהן	2005.3.8 20:20:16	glh
עיר גרן	גרן	עיר	פסוק	בראשית	נ	10	ויבאו עד גרן האטד אשר בעבר הירדן ..	אביתר כהן	2006.2.27 19:12:42	grn
עיר גשן	גשן	עיר	פסוק	יהושע	טו	51	וגשן וחלן וגלה	אביתר כהן	2005.3.8 20:19:45	gjn
עיר גת	גת	עיר	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה	אביתר כהן	2004.11.16 19:16:25	gt
עיר דאר	דאר	עיר	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר .. עין-דר .. תענך .. מגדו ..	אביתר כהן	2004.9.22 18:52:58	dar
עיר דביר	דביר	עיר	פסוק	יהושע	יג	26	ויהי להם הגבול יעזר ומחשבון עד-רמת המצפה ובטנים וממחנים עד-גבול לדבר	אביתר כהן	2005.3.7 20:01:41	dbyr
עיר דברת	דברת	עיר	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע	אביתר כהן	2004.11.16 19:11:24	dbrt
עיר דבשת	דבשת	עיר	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם	אביתר כהן	2004.11.16 19:05:40	dbjt
עיר דור	דור	עיר	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר .. עין-דר .. תענך .. מגדו ..	אביתר כהן	2004.9.22 18:53:14	dwr
עיר דותן	דותן	עיר				0			2006.11.20 12:03:00	dwtn
עיר דיבון	דיבון	עיר	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון	אביתר כהן	2005.3.7 19:08:12	dybwn
עיר דימונה	דימונה	עיר	פסוק	יהושע	טו	22	וקינה ודימונה ועדעדה	אביתר כהן	2005.3.8 19:12:24	dymwnh
עיר דלען	דלען	עיר	פסוק	יהושע	טו	38	ודלען והמצפה ויקתאל	אביתר כהן	2005.3.8 19:47:55	dlen
עיר דמשק	דמשק	עיר				0			2006.11.20 12:03:00	dmjq
עיר דן	דן	עיר	פסוק	יהושע	יט	47	ויקראו ללשם דן כשם דן אביהם	אביתר כהן	2005.3.28 17:45:50	dn
עיר דנה	דנה	עיר	פסוק	יהושע	טו	49	ודנה וקרית-סנה היא דבר	אביתר כהן	2005.3.8 20:13:55	dnh
עיר הבוכים	הבוכים	עיר				0			2006.11.20 12:03:00	hbwkym
עיר המלח	המלח	עיר	פסוק	יהושע	טו	62	והנבשן ועיר-המלח ועין גדי	אביתר כהן	2005.3.8 20:33:01	eyr_hmlx
עיר הפרה	הפרה	עיר				0			2006.11.20 12:03:00	hprh
עיר השחר	השחר	עיר	פסוק	יהושע	יג	19	וקריתים ושבמה וצרת השחר בהר העמק	אביתר כהן	2004.8.29 19:13:43	hjxr
עיר השטים	השטים	עיר	פסוק	במדבר	לג	49	ויחנו על הירדן מבית הישמת עד אבל השטים בערבת מואב	אביתר כהן	2004.8.30 19:02:29	hjfym
עיר השמש	השמש	עיר	פסוק	יהושע	יט	27	ושב מזרח השמש בית דגן ופגע בזבולן	אביתר כהן	2004.8.30 18:39:21	jmj
עיר זיף	זיף	עיר	פסוק	יהושע	טו	24	זיף וטלם ובעלות	אביתר כהן	2005.3.8 19:17:01	zyp
עיר זנוח	זנוח	עיר	פסוק	יהושע	טו	34	וזנוח ועין גנים תפוח והעינם	אביתר כהן	2005.3.8 19:38:54	znwx
עיר חברון	חברון	עיר	פסוק	יהושע	טו	54	וחמטה וקרית ארבע היא חברון וציער	אביתר כהן	2005.3.8 20:24:00	xbrwn
