"עונש"
"אין"
"הרג בסיף"
"חטאת קבועה"
"חנק"
"כרת"
"מיתה בידי שמים"
"מכת מרדות"
"מלקות"
"סקילה"
"קרבן מעילה"
"קרבן עולה ויורד"
"שריפה"
"שתי חטאות"
"תשלומים"
